ID,Ngày phát hiện,Tên tool/chủ đề,Nhóm,Tóm tắt (tiếng Việt),Giá trị với người dùng,Nguồn URL,Nhóm nguồn,Verdict,Lý do loại,Shot list,Status,Tuần
1,2026-07-10,GPT-5.6,AI office,"OpenAI ra GPT-5.6 ngày 09/07, model chính cho ChatGPT và Microsoft Copilot 365","Copilot trong Word, Excel, Outlook chạy não mới, dân văn phòng được nâng cấp mà khỏi làm gì",https://techcrunch.com/2026/07/09/openai-launches-its-new-family-of-models-with-gpt-5-6/,TechCrunch AI,Winner,,"shot-01: ChatGPT đang chọn model GPT-5.6 trong dropdown | shot-02: cùng một yêu cầu xử lý bảng dữ liệu, trả lời model cũ và GPT-5.6 đặt cạnh nhau | shot-03: Copilot trong Excel đang chạy | shot-04: trang công bố của OpenAI. HOOK: Não mới cho ChatGPT vừa ra lò. CAPTION: GPT-5.6 vừa ra ngày 09/07. Mình test nhanh vài việc văn phòng: tóm tắt mail dài, dựng công thức Excel, viết báo cáo. Nhanh và ít sai hơn hẳn. Bạn nên thử lại mấy việc từng chê nó làm dở. (Nguồn: TechCrunch, 09/07/2026)",Backlog,2026-07-10
2,2026-07-10,Notion 3.6 External Agents,AI office,"Notion 3.6 ra 01/07: giao task cho Claude và Cursor ngay từ board chung, meeting notes tự nhận diện người nói, agent đọc ghi được Excel và PowerPoint","Cả team giao việc cho AI như giao cho đồng nghiệp, khỏi rời Notion",https://www.notion.com/releases/2026-07-01,search,Winner,,"shot-01: board Notion có task đang assign cho Claude | shot-02: AI Meeting Notes hiển thị tên người nói từng đoạn | shot-03: agent xuất file Excel từ trang Notion | shot-04: trang release notes 3.6. HOOK: Giao việc cho AI ngay trong Notion. CAPTION: Notion 3.6 cho phép assign task cho Claude và Cursor từ board của team, ai rảnh thì nhận, AI cũng là một đồng nghiệp. Meeting notes giờ biết ai đang nói. Team bạn xài Notion thì update liền đi. (Nguồn: Notion Releases, 01/07/2026)",Backlog,2026-07-10
3,2026-07-10,Claude Cowork trên web và mobile,AI office,"Claude Cowork lên web và mobile từ 07/07, beta cho gói Max: giao task nhiều bước, task chạy nền kể cả khi tắt máy, theo dõi từ điện thoại","Bắt đầu việc ở công ty, kiểm tra tiến độ trên điện thoại, khỏi ôm laptop cả tối",https://claude.com/blog/cowork-web-mobile,TLDR AI,Winner,,"shot-01: app Claude trên iPhone hiển thị task Cowork đang chạy | shot-02: cùng task đó mở trên claude.ai desktop | shot-03: màn hình Claude hỏi ý kiến khi cần bạn quyết | shot-04: kết quả cuối xem trên điện thoại. HOOK: Giao việc buổi tối, sáng nhận kết quả. CAPTION: Claude Cowork vừa lên mobile. Giao task ở máy công ty, trên đường về mở điện thoại xem nó chạy tới đâu, cần gì nó hỏi mình duyệt. Đang beta cho gói Max, sẽ mở rộng dần. (Nguồn: Claude Blog, 07/07/2026)",Backlog,2026-07-10
4,2026-07-10,Context.dev,data,"Context.dev (YC S26) lên Hacker News tuần này: API biến trang web bất kỳ thành data có cấu trúc theo JSON schema, tự xử JavaScript và anti-bot, free 500 credits","Dân data khỏi tự viết scraper, khai báo schema là có data sạch để phân tích",https://www.context.dev,Hacker News,Winner,,"shot-01: landing page context.dev | shot-02: đoạn code gọi API kèm JSON schema | shot-03: response JSON data sạch trả về | shot-04: bảng pricing có free tier. HOOK: Lấy data từ web bất kỳ bằng một API. CAPTION: Mình hay phải cào data web để phân tích, viết scraper mất cả buổi. Context.dev cho khai báo schema JSON rồi nó tự lo phần còn lại, kể cả anti-bot. Có free tier 500 credits để thử. (Nguồn: Hacker News, 07/2026)",Backlog,2026-07-10
5,2026-07-10,Grok 4.5,AI office,"xAI ra Grok 4.5 ngày 08/07, được mô tả đạt tầm Opus",,https://x.ai/news/grok-4-5,TLDR AI,Loại,"Tin model thuần, chưa gắn được vào pain văn phòng cụ thể",,,2026-07-10
6,2026-07-10,GPT-Live voice models,AI office,OpenAI ra model giọng nói full duplex ngày 08/07,,https://openai.com/index/introducing-gpt-live/,TLDR AI,Loại,"Sản phẩm giọng nói, khó thể hiện bằng carousel ảnh",,,2026-07-10
7,2026-07-10,Google Photos Video Remix,AI office,Google Photos thêm tool remix video bằng AI ngày 08/07,,https://techcrunch.com/2026/07/08/google-photos-adds-a-new-ai-video-remix-tool/,TechCrunch AI,Loại,"Đồ chơi consumer, không phải pain dân văn phòng",,,2026-07-10
8,2026-07-10,Muse Spark 1.1,coding,Meta vào thị trường AI coding assistant ngày 09/07,,https://ai.meta.com/blog/introducing-muse-spark-meta-model-api/,TechCrunch AI,Loại,Mới nhưng chưa thấy điểm khác biệt rõ so với Copilot và Cursor,,,2026-07-10
9,2026-07-10,SWE-1.7,coding,Cognition ra model coding frontier giá rẻ ngày 09/07,,https://cognition.com/blog/swe-1-7,TLDR AI,Loại,"Model cho dân chuyên sâu, khó minh hoạ bằng screenshot đời thường",,,2026-07-10
10,2026-07-10,MiniMax M3,coding,"Model open weights kèm agent, context 1M token",,https://agent.minimax.io/,TLDR AI,Loại,"Giá 500 đô một năm, xa tầm audience văn phòng Việt Nam",,,2026-07-10
11,2026-07-10,Gemma 4,coding,Google ra bộ model open weights 2.3B tới 31B,,https://arxiv.org/html/2607.02770v1,TLDR AI,Loại,"Thiên kỹ thuật, không phải tool xài liền được",,,2026-07-10
12,2026-07-10,Excel AI Skills,AI office,Microsoft đang test tính năng định nghĩa workflow tài chính một lần rồi tái dùng,,https://workspaceupdates.googleblog.com/2026/,search,Loại,"Mới ở dạng thử nghiệm, người dùng thường chưa bật được",,,2026-07-10
13,2026-07-10,Slackbot MCP client GA,AI office,"Slackbot mở MCP client cho mọi app, hệ sinh thái hơn 20 partner",,https://slack.com/blog/news,search,Loại,Không xác nhận được ngày ra mắt trong 2 tuần gần đây,,,2026-07-10
14,2026-07-10,Claude Sonnet 5,coding,"Anthropic ra Sonnet 5 ngày 30/06, giá intro tới hết 31/08",,https://anthropic.com/news/claude-sonnet-5,Anthropic News,Loại,"Tin đã 10 ngày, các kênh lớn phủ dày, khó có góc mới",,,2026-07-10
15,2026-07-10,Seedream 5.0 Pro,AI office,ByteDance ra model ảnh multimodal cho creator ngày 09/07,,https://www.testingcatalog.com/bytedance-debuts-seedream-5-0-pro-with-advanced-reasoning/,TLDR AI,Loại,"Tool ảnh cho creator, lệch niche văn phòng và data",,,2026-07-10
